index,S. No.,text,task_1
1158,1159,বিৰোধী দল শক্তিখালি নহলে উন্নয়ন ক্ষেত্ৰখন অলপ ধিলা হয়।,HOF
1159,1160,কোনো কাম নাই আগতে গোটেই পৃথিবীখনক লেংটা হৈ দেখুৱাই এতিয়া ধৰ্ম কৰি লাভ নাই,HOF
1160,1161,বাকি বেলগ কথা নাই। খালি পিটন হব যদি লগ পাওঁ ।জয় আই অসম,HOF
1161,1162,অসমত মীয়া নহলে ৰেপ কোনে কৰিব,HOF
1162,1163,সকলোৱে আগ্ৰহেৰে এবাৰ হাত চাপৰি বজাই দিয়া।,NOT
1164,1165,কাম নাই ছালা,HOF
1165,1166,কান্তলীয়া ছৰ দিব লাগে,HOF
1166,1167,এইজনী মগজু বিকৃতি ঘটিছে।,HOF
1168,1169,মোৰ  বস্তু বোৰত হে চকু,NOT
1169,1170,তুমি তোমাৰ পৰিচয় এই ভিডিঅ'বাৰ্তা যোগে ৰাইজক দেখুৱাই হাঁহিৰ পাত্ৰ হʼলা। মানে শুদ্ধ অসমীয়াত ক'বলৈ গ'লে তুমি এটা মস্ত গাধ বা গৰু  ।,HOF
1170,1171,"অগপৰ কোনো নীতি বোলা বস্ত নাই ।  কিহৰ বাবে আমাক দূখ দি অসমীয়া মানুহৰ  ঘাই  শত্ৰুআৰু বিদেশী বঙালীৰ মিত্ৰ বিজেপিক সমৰ্থ কৰিবলৈ গৈছিল ,বিজেপিয়ে অগপক বাৰে অপমান কৰি আছে । ",HOF
1174,1175,জিবস্রষ্ঠা মানুহ,HOF
1175,1176,তাইক চাই আনন্দ লওক৷,NOT
1177,1178,আমাৰ বিলাকে পইচা খাব জানে মাত্ৰ,HOF
1178,1179,ভাল লাগিল আপোনাৰ vdo 2 চাই।,NOT
1180,1181,ছিঃ ইয়াকৈ ভাল আমাৰ শুকুৰ আলীহে আছিলে। অন্ধসমাজ 🥱,HOF
1183,1184,"আনহাতে,মিঞা হ'ল পূৰ্ববংগ বা বাংলাদেশৰ পৰা প্ৰৱৰ্জনকাৰী।মিঞা ভাষা অসমৰ উপভাষা কেনেকৈ হ'ব???",HOF
1185,1186,অই গৰু ভিডিঅ দেৰি হৈছে আৰু ৰৈ তাকিব নোৱাৰো🤬 বছৰিকে কিমান ৰৈ তা‌কিম বে বে বে বে বে বে বে বে বে,HOF
1186,1187,নিজৰ মাজত মৰি থাক অসমীয়া,HOF
1187,1188,অসমত সংগঠন খোলে অথচ অসমীয়া লিখিব নাজানে,NOT
1189,1190,"নিজৰ জীয়েকক ধৰ্ষন কৰিলি, মৃতদেহক কৱৰৰ পৰা উঠাই ধৰ্ষন কৰিলি, ",HOF
1190,1191,ছোৱালীজনী আধুনিক নে অত্যাধুনিক,HOF
1192,1193,ষষ্ঠীত প্ৰতিষ্ঠা কৰা দেৱীক বিসৰ্জু আমি বিজয়াৰ বিফল সন্ধিয়াত.... ইয়াত বিহু ক'ৰ পৰা আহিল।,NOT
1193,1194,ভোটজলকীয়া নেইন,NOT
1194,1195,Simple হৈ থাকিব দিয়ক ৷ ভাল পাব মানুহে ৷,NOT
1195,1196,ওহ.. ফেদা জনী কেলা  !,HOF
1196,1197,এইজনী ক মাৰি নেপেলাই কিয়,HOF
1197,1198,কাপোৰ এনেকুৱা পিন্ধে যে কাপোৰৰ অভাৱ তেনেকুৱা ধৰণে,HOF
1201,1202,বঙালে অসমীয়াক বুৰঞ্জী শিক্ষা দিব নালাগে .,HOF
1202,1203,মানুহৰ নামত কলংক ইহঁতবোৰ,HOF
1203,1204,নিছা খাই ৰাস্তাত গুণ্ডাগিৰি কৰা,HOF
1204,1205,মই হৱ লাগিছিল তাৰ চিখৰ খোৱা মুখ খন ভাঙি পেলাই দিলো হেতেন,HOF
1205,1206,কি হব কবলৈ ভাষা নাই আৰ,NOT
1206,1207,টুমাৰ প্ৰজাটিৰ ৰে হোই। 😂😂,NOT
1208,1209,"তহতে মীয়া বিলাকৰ বাবে চিন্তা কৰক বাকি থ, অসমৰ পৰা কেনেকৈ বাংলাদেশী খেদাব এইবোৰ চিন্তা কৰিব লাগে।",NOT
1209,1210,মানুহে নিজৰ দেশক বচাবলৈ যুদ্ধ ত পাৰমাণৱিক বোমা বেবহাৰ কৰিছিল।,NOT
1210,1211,কাৰণ গৰিয়া সকল আমাৰেই শংকৰ আজান দেশৰ ভাই ভাই ।,NOT
1211,1212,কথাতো সকলোৱেই জানে ভাল কিন্তু সেই বিদ্যালয়খন অহা মাহত বন্ধ কৰি গেটত তলা ওলোমাই ওচৰৰ বিদ্যালয় এখনৰ লগত একত্ৰিকৰণ কৰি দিব তেতিয়া আপোনাৰ অনুদানতো অথলে যাব যে !?,NOT
1212,1213,কলিকতিয়া বঙালী বহি ৰাজ্যৰ পৰা যি সকল বঙালীয়ে কৰম সুত্ৰে আহি অসমীয়া ওপৰত অত্যাচাৰ চলাই আছে সেই সকলক বঙালীক কৈছিল ।,HOF
1214,1215,কাম নাই জোডি পোকোৰোট আংগুলিতু ভোৰাই হুই থ্ক,HOF
1215,1216,একে ভুলৰ বাবে মতা হল বুলি ফটো মাৰি সবিশেষ বৰ্ণনা দিব আৰু মহিলা বুলি ফটো ব্লাৰ কৰি দেখু্াৱাব,NOT
1217,1218,সকলোৱে মাত মতা উচিত,NOT
1218,1219,কোনজন বঙালী মানুহ জধা মুৰুখ।,HOF
1220,1221,গুণ্ডাৰ দল নহয় বিশৃংখলৰ দল হে,HOF
1222,1223,অসমৰ চৰকাৰী বিদ্যালয়ৰ আজি কি হৈছে।,HOF
1223,1224,হিজৰাৰ লৰা ছোৱালী হয় নে বাৰু,HOF
1224,1225,অসমীয়াক অপমান কৰা তাৰ দাত কেইটা চফা হৈ আছে চাফা হৈ যাব আৰু লগতে তাৰ জিভাখনো।,HOF
1227,1228,আগতে নিজে অসমীয়া হৈ লওক সকলো ।,HOF
1228,1229,ডৰীয়া দাদা ৰ সেৱা আৰু আমাক নালাগে। যি কৰিলে অত দিন জন্ম পৰা দেখি আহিলো,NOT
1229,1230,বাতৰি কব মন থাকিলে ভালকৈ কবি Roast চাব অহা নাই,HOF
1230,1231,ভাল লাগিল। অসমৰ ভৱিষ্যত হয় যেন।,NOT
1231,1232,"পাপিষ্ট, পাগলি, মতা মানুহ ইণ্ডিয়াত কম হৈছে, তাইক আৰু মতা লগে,",HOF
1232,1233,"দলং বনোৱা,ঘৰ বনোৱা মিঞা কেইটাই নি জংঘলত এৰি থৈ আহে",HOF
1233,1234,তেন্ত মিস্ট্ৰি সলাই দিলেই সমষ্যা খতম,NOT
1235,1236,আহক আমি সকলোৱে মিলি এখন অসম গঢ়ো আহমেদ দা কিন্তু হিন্দু বাংলাদেশী মুছলমান বাংলাদেশী নহয় অকল অসমীয়া,HOF
1237,1238,ফকতীয়া,HOF
1238,1239,কাম নাই আৰু,NOT
1239,1240,টুমি ভিডিঅ' বনুৱা বণ্ডো কোৰ,HOF
1240,1241,সঁচাকৈ এওঁৰ বিৰুদ্ধে ব্যৱস্থা গ্ৰহণ কৰি লাগে ৷,NOT
1241,1242,৬বছৰীয়া অসম আন্দোলনৰ পৰা দেখি আহিছো।,NOT
1242,1243,পাকিস্তানৰ নিউছ টো চাই লবি কৱৰৰ পৰা উলিয়াই ৰেপটো কৰেই আৰু খাইও পেলায় আখ থু,HOF
1243,1244,সুন্দৰ বিশ্লেষণ,NOT
1244,1245,আমি কেই আকোঁৱালি লম কাৰণে ই বহুত ভাল পাৰ্টি,NOT
1246,1247,ভূবন গাম ডাঙৰীয়াই অসমীয়া কথাই ভালকৈ কব নোৱাৰে,HOF
1247,1248,বৰ লাজৰ বিষয় ইমান চুটি পেন ...মই বলিং কৰাজন হোৱা হলে ভাল লাগিলে হেঁতেন 👅👅,HOF
1248,1249,"তোমাৰ সহজ সৰল কথা বোৰ, তোমাৰ মনোভাৱ শুনি তোমাৰ মাজত অনাগত দিনৰ এজন প্ৰতিষ্ঠিত ব্যক্তি দেখা পাইছোঁ সঁচাকৈ তুমি অসমৰ উজ্বল নক্ষত্ৰ ",NOT
1249,1250,ৰাজনীতিত তেলৰ এক মাহাত্ম্য আছে...,HOF
1250,1251,।ফটোৱা জাৰি কৰি দে।,HOF
1251,1252,নিজৰজনীকেই মালিছ কৰি থাক,HOF
1253,1254,"অখিল গগৈয়ে আন্দোলন কৰে, কিন্তু কণী,মাছ, কয়লা,পান আদি চিন্দিকেত নকৰে।",HOF
1256,1257,কাউৰী বিৰিয়ানী খাই নেকি সুধিবছোন,HOF
1257,1258,"বাঙাল হিন্দু মুছলমান বুলি কথা নাই, এইবোৰ গেদা বুলিয়েই ভবা যায়",HOF
1259,1260,আকৌ এবাৰ কংগ্রেস চৰকাৰ।,HOF
1260,1261,সাংঘাটিক ডাঙৰীয়াক এতিয়া Party হে লাগে মানে,HOF
1261,1262,তাইক মই লগ পোৱা নাই আৰু এদিনো দেখা নাই ' তাই আমাৰ মৰমৰ হে আপোন ।,NOT
1262,1263,প্ৰত্যেক থানাত ইয়াৰ বিৰুদ্ধে এজাহাৰ দাখিল কৰিৱ লাগে,HOF
1263,1264,নমুনা ভৰি আছে অসমত,HOF
1264,1265,তেওঁ স্বামী যদি হাৰি যাই কিমান ভাল হব বাৰু এইবাৰ,HOF
1265,1266,"আপোনাৰ ভিডিঅ'টো চালোঁ, বহুত ধুনীয়া হৈছে, দিনে দিনে আপোনাৰ ভিডিঅ' বেছি ভাল লগা হৈ আহিছে। ",NOT
1266,1267,শালা গাজাখাৰী তোৰ কথা মানিলে নিশ্চয় জাহান্নামত যাব,HOF
1267,1268,আমাৰ জন আক মিয়া লগত লাগি আছে ।অসমত  ৰাম ৰাজ্য আছে । ৰাম ভক্ত সকলে ৰাৱণৰ  নীতি অনুসৰণ নকৰে ।,NOT
1268,1269,পঢ়িব দিয়ক ছোৱালী জনীক,NOT
1269,1270,জিন্দাবাদ হোৱাত খুজলিৱালে ৰখাব পাৰিব বুলি ভাৱি আছা,HOF
1270,1271,অৱশ্যে তেওঁলোকো সম্পূৰ্ণৰূপে দোষী নহয়।,NOT
1271,1272,ৰাতিপুৱাই-পুৱাই এই বিতং বাতৰি। কৃষ্ণহে🤓,NOT
1272,1273,তুলনি বিয়াত মৰ্টন ভাগ কৰা দি কৰিছে এ,NOT
1274,1275,মই লগত পালেও নোশুও😂😂😂,HOF
1275,1276,অনেক কষ্ট করে ভিডিও বানাই কিন্তূ akhono সফলতা পাইনি কিন্তু আপনাদের আশীর্বাদে অনেক দূর এগিয়ে এসেছি 588 জন ফ্যামেলি হইসে,NOT
1276,1277,কি যে দূৰ্ভাগ্য বাল,HOF
1277,1278,মামাৰ নতুন মন্ত্ৰী বিলাকে সমস্যা সমাধান কৰি দিব পাৰিবনে ? এই বিলাক বিধায়কে কৰা কাম মনত পৰা নাই।,HOF
1278,1279,Imdadul Islam Akand চোৱা ভাই তুমি চুদিব নোৱোৰাৰ বাবে ঘৈণীয়েৰে পাৰ্ট টাইম কাম কৰাৰ কাৰণে মানুহ বিছাৰি লৈছে বৰ দুখৰ বিষয় এইটো মোক টো এবাৰ কব পাৰলি হয় তুমি নোৱাৰিছা বুলি,HOF
1279,1280,তুৰ ভিডিঅ' চাবো মন নুজুয়া হোল ওকাদ দাদা,HOF
1280,1281,একো সুন্দৰী নহয়।,HOF
1281,1282,"থাইলেণ্ডৰ টাই ধৰ্মৰ আহোম ভণ্ড পৰাজীৱী মুখা পিন্ধা হিন্দু হৈ আছে অসমত ,🙏",HOF
1282,1283,বাল ছিঙা তই পইচা কৰ পৰা পাই আছা,HOF
1283,1284,আমাৰ পোৰ্টেলকেইটাৰ কৃপাত অসমবাসীয়ে ভাল খবৰটো পালোৱেই।,NOT
1285,1286,কিন্তু NRC ৰ ঠিকাভিত্তিক কৰ্মচাৰীসকলৰ চাকৰি অহা 31 মাৰ্চৰ পৰা যাব ওলাইছে । সেই বিষয়ে বিজেপি চৰকাৰৰ মতামত কি ?,NOT
1286,1287,নিজৰ ভাগিন মানে নিজৰ ছোৱালীক ৰেপ কৰাটো কিমান ডাঙৰ পাপ শুনাটোও পাপ থু,HOF
1287,1288,"বেছি বাৰাবাৰি নকৰিবি।কৰ্ম কৰিলেহে খাব পাবি,বহি বহি কোনেও নুখুৱায়, ",NOT
1288,1289,দুয়ো জনকে প্ৰশাসনে ব্যৱস্থা লওক,NOT
1289,1290,কি ঘেন্তা কৰিম আমি,HOF
1290,1291,লাচিতত কৈ অনা অসমীয়া ডাঙৰ নহয়,HOF
1291,1292,এতিয়া কান্দি লাভ নাই তোমাৰ যি হবলৈ আছিল হৈ গোল গতিকে আৰু?,HOF
1292,1293,BJP ৰ ভালেই হব অসমত AAP আহিলে।,HOF
1294,1295," অসমৰ বহু ঠাইত এতিয়া গেদাৰ হাতত অসমীয়া মুছলমান পিটন খাই আছে, গতিকে কথাবোৰ অসমীয়া হৈ কলে ভাল হয় মুছলমান হৈ নহয়।",HOF
1295,1296,"phone, dresses যদি চব free কে পাই থাক ভাবিছিলি birthday party টো free কে পাতিম বুলি।",HOF
1297,1298,মই চবটকোই ভাল সুৱালী জোনি জী তি বোলোকি নাথকিবি,HOF
1298,1299,জ্বলন্ত উদাহৰন লুৰিন জ্যোতি গগৈ এতিয়া জাতী়য়তাবাদৰ ঠাই নাই,HOF
1299,1300,বহুত দিনৰ পিছত,NOT
1300,1301,কি ভাবি তেনেকুৱা ড্ৰেছ পিন্ধে ভাবি নেপাওঁ।,NOT
1301,1302,লাডেনৰ বঙসধৰ বিলাকে ভূপেন বৰাক লাডেন বুলি ক'বলৈ সাহস ক'ত পালি তই।,HOF
1302,1303,মোৰ বাবে এইটো অযান্ত্ৰিকৰ এতিয়ালৈকে শ্ৰেষ্ঠ এপিছ'ড।,NOT
1303,1304,মন্ত্ৰী অতুল বৰাৰ ডাঙৰীয়ৰ কথা কোনেও বিশ্বাস নকৰে।,HOF
1304,1305,চাল্লা কি মানুহ,NOT
1305,1306,কিছুমান মহিলাই ছা টোকে ভুতটো দেখা স্বভাৱৰ বাবে পুৰুষো সুৰক্ষিত নহয়,NOT
1306,1307,"এছিয়াৰ সকলোতকৈ ডাঙৰ ৰেড-লাইট এৰিয়াটো কলিকতাতেই আছে ""সোণাগাছি"" এনেই আছিলোঁ,",HOF
1307,1308,কম দিনৰ ভিতৰতে তোমাৰ big ফ্রেণ্ড হৈ গলো bro,NOT
1308,1309,পকা জলকীয়া ভাঙী সুমুৱাই দিম ছেট তাৰ পুকৰৰ ফুটাত,HOF
1309,1310,চালা জহৰা পপীয়াৰ জাত,HOF
1310,1311,ৰেন্দিজনিৰ ফটোখন কিয় নেদেখুবাই হে আপোনালোকে?,HOF
1311,1312,এয়াই ‌নেকি তেওঁ লোকৰ স‌ংস্কৃতি?,HOF
1312,1313,এইবোৰ মৰক আমাৰ কি আহে যায়।,HOF
1315,1316,অসম লজ্জানত নাই হোৱা !,HOF
1316,1317,আপুনাৰ সিদ্ধান্ত সদায় সমৰ্থন কৰো,NOT
1317,1318,হয়তো শিক্ষামন্ত্ৰী মহোদয়ে যদি অনাগত দিনত কেনেবাকৈ নিৰ্বাচনত পৰাজিত হয় তেতিয়া তেখেতৰ জীৱন শেষ কৰি পেলাব নেকি?,HOF
1318,1319,এইটো মদাহি,HOF
1319,1320,তই বুলি কলো তই নিজে মিঞা মিউজিয়াম,HOF
1320,1321,"উৰ্ফি এজনী দুখীয়া ছোৱালী, তাইৰ তাত ইমান পইছা নাই যে তাই নিজৰ প্ৰয়োজনীয় কাপোৰ কিনি পিন্ধিব.....😢",HOF
1321,1322,সোণোৱাল ডাঙৰীয়াক ৰাজনৈতিক জগতৰ পৰা আঁতৰ কৰা বুদ্ধিৰ বাহিৰে আন একো নহয়।,HOF
1323,1324,কেবলমাত্ৰ অসমই নহয় গোটেই ভাৰতবৰ্ষ নিৰাপদ থাকিব যেতিয়ালৈকে মুসলিম থাকিব।প্ৰকৃত মুছলীম দেশৰ গাদ্দাৰ নহয়।,HOF
1324,1325,"এনেকুৱা বাতৰি দেখিলে , নিজকে ছোৱালী বুলি কবলৈ লাজ লগা হ'ল।",NOT
1326,1327,এক আদৰ্শ থানত এজন আৰু আনহাতে আনজনৰ হাতত এটা শক্তি নাই সেইটো হৈছে এটা কমবাহীনী তাক লৈ কেজৰীআলক ভেটিব পাৰিব।,HOF
1327,1328,সাপৰ আৰু মানুহৰ দুটা খেল একে লগে😂😂😂😂😂,NOT
1328,1329,আমাৰ জনে কব আহিব নালাগে,HOF
1329,1330,এইজনী ইমান কম কাপোৰ পিন্ধি OPEN ঘুৰি ফুৰে ৰাইজৰ মাজত ৷,HOF
1331,1332,সচা  কথা  ভাল  নালাগে  মামাক,HOF
1332,1333,গুনৱতীজনীক সংগ্ৰসালয়ত ৰাখি থওক,HOF
1333,1334,ভলুকা বাহঁ বিচাৰি ফুৰে যে পাইছে এতিয়া,HOF
1334,1335,একে একে দুই দয়া দা মোৰ জুই,NOT
1335,1336,এইজনীক দেখুৱাই থাকিব নালাগে মহা পাপি,HOF
1336,1337,দাদা ৰঙা পেন পিন্ধা ছোৱালী জনী আমাৰ এইয়াৰে হয় যোৰহাট নকাচাৰিৰ ।,NOT
1337,1338,জধা-মূৰ্খ এইবোৰ,HOF
1338,1339,তোৰ লগত ৰোমত আবদ্ধ কৰি ৰাখিব লাগিছিল এক ডজনমান ডেকা মতা বান্ধৰ।।।।,HOF
1339,1340,দুদিনৰ পিছত ২ইন বেবি পাক ঘৰত সোমাব এইটো নিউজ আজিহে পালে😀,NOT
1341,1342,কম দিনৰ ভিতৰতে তোমাৰ big ফ্রেণ্ড হৈ গলো,NOT
1342,1343,"২০২৪ লৈ এতিয়াও সময় আছে, সময়ত গম পাম। ",NOT
1343,1344,BJPৰ বিধয়াক বিলাকক কুকুৰে কামুৰিলে নেকি ?,HOF
1346,1347,ঐ জহৰা কুকুৰ ভালকে চকু মেলি কান খুলি খবৰ লবি।,HOF
1347,1348,দম নাই ২ টাৰ দলৰ মাজত হেই কাৰনে খেল খন নহল,HOF
1348,1349,কুকুৰদোৰে ভোকি আছে,HOF
1349,1350,আবেদ ভাই নাইস ভিডিও,NOT
1350,1351,অসমীয়াৰ অস্তিত্বৰ শেষ যুদ্ধত আমি জয়ী হব লাগিব,NOT
1351,1352,কথাবিলাক অলপ দ কে ভাবি চাব লাগে।। তেও তো কলেই হাৰিম বুলি।। এতিয়া জিকা বিলাকে কি কৰে দেখিম।। বহুতে প্ৰতিবাদ কৰিব গৈছে কিন্ত কিহৰ কাৰণে কৰিছে ভালকে শুধিলে কোনোৱে কব নোৱাৰিব।।,HOF
1352,1353,এই নিউজ চেনেল বোৰৰ আৰো কাম নাই নেকী,HOF
1354,1355,সাধাৰণ মানুহ এগৰাকীয়ে ইয়াতকৈ ডাঙৰ সহায় কৰিলেও সংবাদ মাধ্যমে ঢুকি নাপায়। কিন্তু তাত আগতে কেমেৰা ৰেডি তাৰ পাছত অপাৰেশ্বন সহায় আৰম্ভ।,NOT
1355,1356,দাদা ইয়াক পালে মই অকলে পিতিম,HOF
1356,1357,"বহুত দিন খোলাকৈ হাঁহি মৰা নাছিলো ,আজি হাঁহি হাঁহি কান্দি গৈছো ভাল লাগিল ",NOT
1357,1358,প্ৰকৃততে প্ৰাথমিক শিক্ষা ব্যৱস্থাৰ উন্নতি হলেহে দেশৰ শিক্ষা ব্যৱস্থাৰ বাস্তৱ উন্নতি হব । দিনেশ বৈশ্য চাৰৰ চিন্তা আৰু  ভাষ্যবোৰ কিয় ইমান নিন্ম মানৰ সেইটো বুজিব পৰা নাই  ।,NOT
1358,1359,তুমি আগবাঢ়ি যোৱা।আনৰ কথাত মন বেয়া কৰি থমকি নৰবা কেতিয়াও,NOT
1359,1360,"তোমালোকৰ দৰে মানুহ থাকিলে অসমত কেতিয়াও হিন্দু মুচলমানৰ সংঘাত হৱ নোৱাৰে ,আমাৰ দুই এজনৰ কাৰনে আজি বঙালৰ ইমান সাহস হৈছে",HOF
1360,1361,দাদা কি বুলি কওম ভাবি পানায় ছাই ভাল লাগিলে,NOT
1361,1362,অই কেলা কি হল ভিডিঅ' নাই জে,HOF
1362,1363,বুজি পালো মই প্ৰেম কৰিব নাপায়।,NOT
1363,1364,কি সুন্দৰ হাঁহি ডাইনীৰ মুখত,HOF
1365,1366,"কোনে কলে বিধৱাক অমংগলীয়া ভাবে আপোনাৰ দৰে অৰ্ধ হিন্দুৱে ভাবে চাগৈ, ",HOF
1366,1367,অন্য কিবা বেলেগ উদ্দেশ্য নাই যদি কথা খিনি শুনি ভাল লাগিল ।,NOT
1367,1368,ধেত কেলা,HOF
1368,1369,নিগনীয়ে কূটা চোলা পিন্ধিছে ।???,NOT
1369,1370,এনেকৈ মোৰ Ex জনীকো কোনোবা এজনীয়ে এনেকৈ ৰাম ধুলাই দিলে বোৰ শান্তি লভিলো হৈ.. 😔😔,HOF
1371,1372,ধেইত কলা তুমাৰ চানল ৰ পৰা আনচাবক্ৰিবে কোৰিয়েই ডিচিলু লন ভাই 😂😂😂😂😂,HOF
1372,1373,তেখেতে নিজে কিয় নকয়নো?,NOT
1373,1374,আৰু তহতৰ কাৰনে বস্তুৰ দামো নকমিবো মনত ৰাখিবি।,NOT
1374,1375,এইবাৰ বিহু নানাচো বুলি কৈ বিহু  নচা মানুহ টকাৰ বাবে।তেখেতৰ ইস্থিতি ভাল নহয়।,HOF
1375,1376,পংকজ পাথকৰ বাৰি কাতিম,HOF
1377,1378,বাপেৰৰ মূৰাটো ওকলিব পাখৰি,HOF
1378,1379,মৰমৰ গেদী গেলা খোৱা 😂,HOF
1380,1381,পাগল হলে মানুহ বিলাক,HOF
1381,1382,Amsu দল নহই নেকী বঙ্গালি দল খুলিলে beya লাগে,HOF
1383,1384,বাঁহ খালে নেকি হয় 🤔,NOT
1384,1385,এইবোৰ নিউজ চালে আমাৰ একো উপকাৰ নহয়।,NOT
1385,1386,কিছুমান নথকা কেইটামানেই এই নোহোৱা নোপোজা বাতৰি প্ৰকাশ কৰে,HOF
1386,1387,গাতবোৰত গা ধুব পাৰিম' মজা হৈছে..,HOF
1387,1388,কুকুৰৰ পোৱালিৰ আগ কাটি তাত জলকীয়া লগাই দিব লাগে,HOF
1388,1389,মাক জনীহে চোন আচল চেনী,HOF
1389,1390,ধিলা পালে হে পষ্টাবি,HOF
1390,1391,এতিয়া ঘড়ীৰ মান সন্মানৰ প্ৰতি আঘাত আনিছে।,NOT
1392,1393,এতিয়াহে দেখিছো জহনী মৰতীয়ে তাত লগাই থৈছে গে,HOF
1393,1394,নিজকে চাচোন তাই তো হলেও ভালকে কাপোৰ তো পিন্ধিছে,HOF
1394,1395,"সেইবাবেই অসমে এজন ভাল সুদক্ষ , অভিজ্ঞতাসম্পন্ন ,শিক্ষিত CM পাইছে, হাতী ওলালে কুকুৰে ভুক ভুক কৰিবএ,",NOT
1396,1397,তাতকৈ কাপোৰ খেনি খুলি থোৱা।,NOT
1398,1399,"বুকুত মঙহে নাই, তাতেই ইমান ...! ",HOF
1400,1401,"দামী দামী এনেদৰে বিকল হৈছে ,,, এইটো এটা ঘড়ীৰ বিৰুদ্ধে প্ৰতিবাদ ।।।",NOT
1403,1404,আপোনাৰ ওপৰত ৰাইজৰ বিশ্বাস গতিকে অকল পুলিচকে নধৰি চিকিৎসক আৰু বেঙ্ক কৰ্মচাৰিকো সমানে ধৰক,NOT
1404,1405,তুমি কণ্ডম ফাটি ওলাইছা।,HOF
1405,1406,সত্যৰ পথত থাকি সচাঁ কথাবোৰ উদঙাই দিয়াৰ বাবে আপোনাক অশেষ ধন্যবাদ ।,HOF
1407,1408,বাবা আমাৰ জীৱনত একমাত্ৰ সান্তনা,NOT
1408,1409,1 মিলিয়ন viwes কাৰণে উল্টা পুল্টা নিউজ কিও বনা কেইটামান টকাৰ বাবে,HOF
1409,1410,কি অধিকাৰ আছে গালি পাৰিবলে।,NOT
1411,1412,আচলতে মিঞা ই কেতিয়াও এই চৰকাৰৰ হিত চিন্তক হ'ব ই নোৱাৰে।বট্ৰদৱাৰ থানা জ্বলোৱা,HOF
1412,1413,ব্যৱহাৰ শেষ হলে বা হোৱা সামগ্ৰী  এনেকুৱা হয় জোন যিহাৰ যোগ্য,HOF
1414,1415,"নাপায় ৰে এনেকুৱা কৰিব,,,,,, ভাল মানুহ ৰ লগতে এনেকুৱা কৰে,,,মোৰ প্ৰিয় সাংবাদিক ",NOT
1415,1416,এতিয়া বাহিৰতে আছো দে ।,NOT
1416,1417,তোমাৰ লগত মোই কাম কৰিম,NOT
1417,1418,তাই ঘোচা মৰা দুখৰ অলপ দীঘল কৈ বনাবাচোন ।সাংঘাতিক লাগিছে কেলা,HOF
1418,1419,কিন্তু থাম্বনিলটো ভাল লগা নাই।।,HOF
1419,1420,মাৰিব লাগিছিলে কেলা,HOF
1421,1422,"সিহতে আমাৰ সময, চিন্তাধাৰা নষ্ট কৰিব ভাৰতীয় গণতন্ত্ৰৰ তথ্য দাঙিলৈ।",HOF
1422,1423,আপুনি ৰাইজক হিচাপ দিলে নাই,HOF
1424,1425,বা বা কি খুন্দৰ।ইমান ডাঙৰ নিউজ,NOT
1425,1426,মোৰ ধাৰণা বাঙালী ফেউৰাটো বিজেপিৰ দালাল হ'ব?,HOF
1426,1427,আপক লৈ ভালদৰে ভয় খাইছে প্ৰতি খন ৰাজ্যই,HOF
1427,1428,সাংঘাটিক সুন্দৰি,NOT
1428,1429,দয়া‌ দা‌ দৰে‌ আপোনাৰ video চায় ভাল লাগিল,NOT
1429,1430,জানিলে পিন্ধি ব।,NOT
1430,1431,যিয়ে বেয়া কাম কৰে তাকেই গেদা বুলি কোৱা হয় ।,HOF
1431,1432,সেই জনীক ধৰি শাস্তি প্ৰদান কৰিব লাগে,HOF
1432,1433,মাছৰৰ তেলেৰে মাছ ভাজি আছে নেকি অসম চৰকাৰে আৰু অসম পুলিছে।,HOF
1433,1434,মস্ত মদাহী যেন লাগিছে কিন্তু তোক,HOF
1434,1435,গেপ্তাৰ কৰিলে কি হব..২দিন পিছত ওলাই আকৌ সেই একেই ব্যৱহাৰ কৰিব। এনেকুবা মানুহক ৰাইজৰ আগত ক্ষমা খুজিব দিব লাগে.,HOF
1435,1436,যেনেকৈ চিলতীয়া হিন্দু বঙালীও আমাক নালাগে।,HOF
1436,1437,পিয়াজ ভাই আৰু মলুৱা ভাই ইহঁতে এতিয়া হাগোতেও মাত মাতে আৰু মুটিলেও মাত মাতে কিযে হ’ব ৷,HOF
1438,1439,হুনিছে নে,HOF
1442,1443,এইবোৰক ৰোধ কৰিবলৈ তালিবানেহে পাৰিব,HOF
1443,1444,আৰে ভাই মাৰো মুঝে মাৰো,NOT
1444,1445,পাৰবেন না দিদি,NOT
1445,1446,যিজনে কিতাপৰ থাইত যাৰুদাল টেবুলত থয় এইজন নেতাৰ জ্ঞানৰ মানদণ্ড কিমানবা উন্নত হয় ।,HOF
1448,1449,কোন ধৰ্মৰ নীতিনো এইটো,HOF
1449,1450,নিউজ পঢ়ি দূখ লাগিল,HOF
1450,1451,শান্তি নাই জহনী বোৰৰ পৰা,HOF
1451,1452,"মুকলি ছেক্সৰ বাদে খ্ৰীষ্টান জীউছৰ সকলোতো আজিৰ হিন্দু মহিলাই কৰেই , ",HOF
1452,1453,চিঞৰি টেটু নফালিব নিজৰ। ইয়াত থাকা তোমালোকে । অধিকাৰ নিবিচাৰিব কিন্তু।,HOF
1453,1454,ক'ত জয় হ'ব?? জালুকবাৰী সমষ্টি HBS ছাৰক কেজৰিৱাল নিজে খেলিলেও হৰুৱাব নোৱাৰে।,HOF
1454,1455,কিছুমান পাগল সাংবাদিকে এই বোৰ পাগলৰ নিচিনা বাতৰি দি ভাল পাই।,NOT
